timestamp,filename,duration_sec,model,speakers,processing_time_sec
2025-12-07 22:35:01,2025-12-05 - Тимофей.m4a,10:01,medium,2,2:19
2025-12-07 22:39:09,2025-12-05 - Тимофей.m4a,10:01,medium,2,2:17
2025-12-07 22:41:53,2025-12-05 - Тимофей.m4a,10:01,medium,2,2:16
